label,title,content
1,Refreshing perspective on learning,"As a teacher at a private school and a homeschooling mom, this book gave me a refreshing perspective on education and learning - both at a structured school and at home. The philosophy of John Holt was what I have read about from ""unschoolers"". I think it is important to consider whether we are motivating our children to learn or teaching them to spit back what we think is important. This book gave me much food for thought in that area."
1,Excellent MIddle School World History Resource: Greek Philosophy,"""Wise Guy: The Life and Philosophy of Socrates"" by M.D. Usher is an excellent resource book for middle schoolers taking a world history class. Our standards require students to describe the key figures and major beliefs of HInduism, Buddhism, Judaism, Islam, Christianity, Greek philosophy.... This book simplifies the philosophy of Socrates for our 6th graders. The illustrations by William Bramhall further help the students grasp the information - especially our ELL learners who benefit from the colorful visuals that bring the child right to the agora in ancient Athens where they can see Athenians discussing life's tough topics including , justice, right and wrong, wisdom, courage, beauty, love....""All I know is that I know nothing"" - Socrates"
0,"Dribble cup, anyone?","This was pretty disappointing. First of all, it's pretty big around. Not easy to lift with one hand when it's full of ice and water. So I MacGyver'd a handle out of the included nylon strap. Eh, it works. But when I tilt it up to sip from it, it tends to dribble several drops down my shirt, especially when it's full.I bought this Igloo cooler in hopes that the insulation would keep my icewater icy, but it doesn't keep things cool any more than the cheap, single-walled, plastic water-bottle it was meant to replace. At least that thing was taller and thinner, which made it easier to hold onto.The nice thing is that it's big enough around to put handfuls of ice into when the lid's off, which is one of the main reasons I bought it. Otherwise, kinda lame. I expected more from Igloo."
1,Excellent and Informative!,"I just loved it, as this film gives you so much more insight about yoga and where it comes from. Those practising yoga should def. watch ORIGINS OF YOGA. That does not mean that you have to be into the spiritual part about yoga. It's just great to see how the ""true"" Yogis live and where it all began. I can't wait for more films like this. I already saw 'Naked In Ashes' by Paula Fouce and it is outstanding, and I hope that it will be available on DVD soon."
0,The Fly (Two-Disc Collector's Edition)I,I bought a used-very good copy from HiddenRiches?. I didn't know the case was going to be cracked!!!!!! I guess my opinion of very-good and there's is different.
1,Pricey but for good reason,"Perfect for my wife and me. Holds a lot, allows good air circulation for air-drying, and easy to keep clean. Tried cheaper one-piece dish racks but they are very inferior."
0,Hookless and Uninspired Effort,"Whenever an editorial review like the one above says an album is good...run! It's usually the exact opposite. Case in point, Ozzy's newest album is drab, dry, and uninspired to a t. No hits here."
0,Never Received,"I was looking forward to this magazine. However, it is well past the date I was given for delivery and I still have not received it."
0,DISSAPOINTED! Maybe mine is expired...,"This is my first time ever using this product so I didn't know what to expect. I HATE it!. My hands do not feel anywhere near clean after using it, I can eat a meal, then use this product and my hands STILL smell like food. When I pump the foam into my hand, I have to quickly rub it into my hands before it drips down my wrist or through my fingers; I have to ""catch it"" as it's dripping down my wrist, no time to even put the cap back on. When I rub it in my hands, it feels very slick, like I'm rubbing in water. I've used foam sanitizer before and they were just that, FOAM, not liquid. So I am VERY dissatisfied and I will NEVER buy this again. I wish I had used it prior to purchasing so I would have known how it was suppose to be. And if this IS how it is suppose to be, then I would have never bought it. Unfortunately I have a case (6 bottles) of this crap. And 4 out of the 6 (that I've tried) are watered down drippy foam."
1,Interesting read,"I, too, remember the Bette Davis/Charles Boyer film fondly and was glad to find this novel so many years later. I have to agree with others that the second half of the book lacks the compelling interest of the first; Rachel Field was writing about her own family in the latter, and she would naturally be just as interested in it as she was Henriette's life in Paris. I enjoyed the look at New York in the mid-nineteenth century, but the second half of the book just wasn't as compelling. If it had been, I would have given this one five stars. Still, anyone who enjoys historical fiction laced with a bit of romance (not much romance, and somewhat old-fashioned, but sweet) will find much to appreciate in this book."
0,Definitely NOT Jerry Butler at his best,"Sorry Bradley Briggs, that's definitely not Jerry Butler at his best! It seems by 1980 Jerry Butler lost the sparkle and funk of his 1976 ""Love's on the Menu"" album and the fabulous groove on his joint album with Thelma Houston. Once you experienced these, it's hard to settle for anything less. I am confident in his huge catalogue there are some more pearls like these.I wish I knew them all and they were not out of print..."
1,christmas cottage,"my husband loves this movie. it is definatley for all ages, nothing to worry about the kids seeing, or swear words."
0,"voice has amazing potential, but lacks maturity","I bought this because I had only heard a snipet of ""Don't know why"" and was captivated by Jones' voice. Unfortunately, once I listened to the CD, there was nothing holding me there. The music is flat and has no lasting holding power. I look forward to future Jones' albums, but this one is going in the bin."
0,non sense,"like the ""teen"" one. i was pressure into buying this book, knowing it will not work, because every kid is different."
0,Weird,"I bought this book after the author was awarded the Nobel prize this year for his literary work. The book is definitely different... fantasy cannibalism in communist China appears to be the main focus of the book. The translation is hard to follow, and the Kindle edition contained a number of misspelled or omitted words. Overall, I do not think this book is worth an average person's limited ""reading"" time."
1,I LUV LOTR!,"I am a Lord of the Rings enthusiast, Ive watched the movie 20 times (date today, 9/12. I luv legolas!) and the first time I saw it, I thought: this move would make a great game! well, from all the reviews, It's lived up to that. I for one will probably play as legolas, since he can fire arrows about two or three times a second, but with this game, you can't win by pushing the same buttons repeatedly. You need to do combos of hits and different combinations, or the enemy will catch on to what you're doing. Also, don't think that the troll in Balin's toom is the only one in the game. They can pop up anywhere. I mean ANYWHERE. The game developers said that themselves. Just don't turn your back on the screen, and you'll be fine. :D"
0,Out of date and incomplete,"Honestly, this book is pretty poorly made in comparison to the later edition called Dark Ages Vampire. The art is sketchy, and lots of the disciplines are too vague. I could rant on endlessly about it in detail, but it would be much easier just to get the 2nd edition. The only thing I found useful (and yes, I have both versions, and every Vampire book ever made by White Wolf including the exotic ones most will never hear about) in this book that the new edition didn't cover is a price list for weapons and armor, using Resource dots."
0,Product Defective,"While priced right and shipping was exceptional, the life of the product was very short. Typical lifespan on a bulb like this has lasted me a year. This died in 5 weeks of minimal use. Product returned."
1,#2 IN WIND RIVER RESERVATION SERIES,"This was one of the earlier books in the Wind River Reservation series. Somehow, I missed reading it years ago when I read the rest of the series. Father John and Vicky Holden are very prominent in the entire series. This time out, the mission is up for sale and there is EVIL afoot. Good story."
1,Excellent.,"I strongly recommend this book. It is even-handed in its approach, admitting what we can and cannot know from natural law alone. And you can safely disregard the Publisher's Weekly commentary, particularly the comment regarding utilitarianism, as it IS in fact fairly dealt with (despite not being the primary subject of this book). For a more thorough critique of utilitarianism, see the first part of Love and Responsibility, by Karol Wojtyla."
1,Perfect fit,I bought these shoes before and they served me well for over a year. They fit well and needs very little break in. Very comfortable.
0,PLO Propaganda anti-semitic film,"Incredible! the rewritting of the real story in this film is incredibly crafty, a masterpiece of deceit, propaganda and corruption."
1,Weller PTA8 Soldering tip,Good temperature control in a reasonably priced tip. Easy to replace. Expect to replace the tip about every three to six hours of soldering.
1,I like his style.,I got this DVD for my boyfriend last year for Christmas. We seen his show on TV and thought it was hilarious. My boyfriend still watches it.
0,too mellow for my 2 1/2 yr old,"My 2 1/2 yr old grandson was going on a cross country car trip and I though this would show him some of the things he'd see along the way. he has a car DVD player so I thought he could watch it while driving. He was totally bored with the DVD and walked away after only a few minutes. It is a very mellow tape, perhaps he is used to something a little more loud and active. Anyways, a dud for us."
0,Big but underpowered,It was mismanufactured and sat out of square on the sled. Then the degree angle levers were misaligned;you could not tighten them as they struck the sled. I found that the big hole in the sled makes it hard to use when starting cutting a beam. The power is not alot different than my 7 1/4 Bosch circulat saw. You have to be really careful to pry away the cut off as the saw binds and stops.The guard lever needs to be longer as NORMAL fingers cant hold it up when starting the cut.I did not find it all that heavy.
0,"speaker issues, battery issues, not worth it","The speaker for the speakerphone is nice and loud, but every once in a while it fades in and out. After a year, the battery is only lasting 20 minutes before the phone dies."
1,House of Love (import),Though not her best work this is a must have album if your a fan of Amy's. This album is complete with bonus tracks (remix of Say You'll Be Mine and Politics Of Kissing) but are well worth the extra money you have to pay for it. So even if you already have the US version buy this one also. Also check out Lead Me On and Behind the Eyes.
0,A Real Disappointment,Naked Prey & Hidden Prey marked the beginning of the end of the Lucas Davenport that we all came to know & love. In Broken Prey he's so domesticated he's barely recgonizable and with the exception of Sloan and Ellie all the characters with whom Lucas interacted are missing. Also missing is the insight into the mind of the killer that was so much a part of the other books. Instead of the usual page turner this plot seemed contrived & the identity of the killer was right out of left field. This new Lucas is a mere shadow of his old self and that doesn't bode well for any future Prey books - don't know how he could manage it but I hope Sanford can either bring back to old Lucas or introduces a new character just as interesting to replace him.
1,Still Mostly Enjoyable,"We've made it up to ""Q"" and the word this time is ""Quicksilver."" That, and Max, as the Max character is very visible in this book.The plot in this book focuses around Temple getting a major new PR assignment at the New Millennium Hotel. A major exhibition is there featuring valuable Russian treasures, the most major bieng a priceless Czar Alexander scepter. It seems that it's a target for theft, but there are those that have more than theft on their minds.Also featured pretty heavily in this book are Shangri-La and her ""poisonous Siamese cat, Hyacinth. And the plot with Matt Devine is really heating up as well.I agree that some elements of the story are becoming a bit soap-operaish and I really didn't think much of the last book in the series. Still, I found this one a reasonably decent read and so I'll be continuing with the series. ""Cat on a Red Romp"" maybe? :)"
0,Feh!,"Absolutely horrible. Both fans of the series and the elder Herbert's memory would have been better served by an edited version of the latter's notebooks, not this cheap tripe. This is the only prequel I have read (I forced myself to finish it), and the only one I will.Don't waste your money. Or your time: if offered it for free, politely decline. Ghastly."
0,Many problems,"I've owned this watch (the black one) for about a year now. I did not purchase the foot pod accessory.The watch has on 4 occaisions gone 'all black' lighting up every pixel on the face. When this happens you have to do a 'reboot' holding all 4 buttons down simultaneously until the watch resets. Of course all your data needs to be reentered.THe watch has also mysteriously reset to March 24, 2005 on 4 or 5 occaisions (10am I think). The time and date are all messed up but it keeps your personal info.The problem appears to be on the RS200 only. Check out the posts on runnersworld for many, many more disatisfied customers before making a decision on this watch."
0,MIND-readers,"This book was somewhat of a disappointment. I began reading this book thinking surely an award winner must be great, and ended up wondering if I'd missed something along the way. Though the general theme of the book became clear about midway, most of the fact presentations were disjointed and unclear. When the author switches to a little bit of what might be considered poetry, towards the end of the book, the reader is tossed into confusion. The author really should have considered the fact that most readers are not MIND-readers and could not possibly decipher the hidden meanings behind some of the passages. I wouldn't recommend this book too highly to anyone, and as far as critic's recommendations, I haven't yet found one worth it's salt."
0,Crappy Heroine,"Gypsy Lover has a romantic sexy hero. Unfortunately, the heroine is predjudiced against gypsies - even after the hero has rocked her world three times! Until almost the last 1/3 of the book, she thinks that Dante is beneath her and can't marry him. But that doesn't stop her from getting it on with him. The sex scenes were pretty hot, too bad it wasn't with another female. I would not bother to buy this book - check it out at the library. A better book from Connie Mason is the Rogue and the Hellion."
0,Great Theory Poorly Described and Lacking,"The concept of UML is a great one and while the authors are great, the book is not. Like the Strousoup C++ it stinks. Just because they developed the idea doesn't mean they can write. The books reads like an Academic book. They try to counteract this with a catchy example at the beginning of each chapter, but fail to explain UML detail in any breadth. At the end of the book I am left feeling like UML is great, but I'm tired, frustrated, and am not quite clear how to use it in any applications -- only that I should."
0,Duraline is not Duable,"I'm looking for an alternative this Homelite DuraLine trim line. These never seem to last very long. I only spend about 8 minutes trimming around stone walls, a concrete patio and wire mesh fence. Although I try to keep the line off the stone and concrete, this line only lasts for 2 trimmings before gets pretty worn down and breaks. It always breaks off before it wears all the way down. Am I expecting too much?"
1,GREAT AFRICAN AMERICAN BARBIE DOLL,ONE OF THE MOST BEAUTIFUL AFRICAN AMERICAN QUEEN BARBIE DOLLS.GREAT FOR THE COLLECTOR OR FOR YOUR CHILDRENS PLEASURE.GREAT FOR CHRISTMAS.
0,People Training for Dogs,"This is an absolute waste of money, just more hagiography for Cesar. His TV series is amusing and informative, but this dvd is a rip off."
1,Best Pan I Own!,"I love this pan! It is the best pan I've ever owned. My other pans are stainless steel but can't hold a candle to this one. It makes the best omelets and is the best nonstick pan. Just make sure your pan is well heated before cooking and follow the care instructions. You will have no problem. Before I bought this pan I really didn't know anything about them. I didn't know a seasoned pan from an unseasoned pan. There is no need to season this pan as I have read many people do. It works great just as it is right out the box. For those of you who are contemplating buying this pan, just buy it and I guarantee you'll love it!"
1,Its real but OLD..,"I believe the fragrance you purchase from Amazon or other outside companies are genuine. The only real concern is the shelf life. I have a friend who works for Macy's and she was explaining to me that many of those colognes, perfumes or scents are outdated or aged really well. So you might end up with a bottle or batch that was produced in 2005 and its on sale now in the year 2012. Cologne life span is usually 3 to 5 years. Many last longer depending on what the make up is."
1,Up all Night,This was an absolutely fantastic book. Opened it in the evening and couldn't put it down through the early hours of the next morning. Great characters! Original ideas! I wish the political concepts could be implemented for real. An outstanding and explosive conclusion. Recommend to everyone.
0,NOT a WEBKINZ,"I am upset because I wanted to purchase a Webkinz unicorn and this came up as a webkinz brand because it is tagged as such with Amazon. It is not Webkinz! It is Russ brand. You can go online with this in a manner similar to Webkinz but only on the Russ website. Cute unicorn, but not the one that my daughter had requested. I have also had difficulty returning to Amazon because although they managed to send me this request for a review, they don't seem to be able to find a record of my purchase so I can return it. Sign me very disappointed in Amazon for this one!"
0,Ideological theory of history -- and extremely repetitious,"Because of the infinite complexity of human behavior, attempts to explain it are almost wholly speculative - especially when the subject is as complex as war. With no nod to that reality, Mr. Hanson unimaginatively adopts the popular myths of the ideological right to explain what he believes has been an unbroken history of Western military dominance. Some of the reasons that he offers are capitalism, freedom, and individualism. He should be writing political speeches, not history. His theories are just plain silly.If you can skim through the countless repetitive passages, much of his descriptive material is, however, interesting."
0,Poor Fit,I am a larger male who bought this product to help with support for back pain. The sides are contoured and were too narrow to fit my body comfortably. Did not use as a result.The vendor was prompt in delivery and billing.
1,History and love: great combination,"Amin Maalouf did a very fine job in the formation of this novel, when combining the fiction with the hisctorical realities. This novel tells about a great love of Omar Khayyam, and concludes with the titanic accident. A great historical persfective, huh?It also includes some rubai's of Omar Khayyam, in which he opposes the GOD's nature, and GOD's laws, which I found to be really great...I strongly recommend this book, to learn something about Omar Khayyam, a small and msyterious history of the middle east, and to have a great time... The only bad thing is you will finish reading it not more than one night, not beacuse it is short but you can not stop reading it..."
1,Very Cool!,"This floating cooler is actually better than expected! It is good quality and I like the handy carrying case. I spent a while comparing different floating coolers and didn't like the look of some of the others. I know a bit silly, but I wanted a plain color not a lot of advertising. The vinyl is a good quality too."
1,Easy to install works great.,Length:: 3:31 MinsWatch video on Kidde 1279-9999 and Kidde 0919-9999 for complete installation instructions.
0,Could be better... much better...,"Now, don't take offence here, but this album did nothing for me. The songs all sounded more or less alike; the band didn't branch out into other styles of singing. Also, truth be told, they do sound like girls. I'm not saying this to insult them. It's just the way it is. The album was full of meaningless pop songs - I doubt if Dream Street actually wrote their own songs (don't hold me to that, though). One thing I will give them though: I've read that all or most of them had Broadway backgrounds before they started singing in a band. So, hey, at least they really can sing. All in all, Dream Street is just another boy band with catchy songs that are bound to get stuck in your head. However, I think pre-teens who are just getting into the music scene might enjoy this CD and will also like the band members, who are still in high school. Otherwise, I'd advise you to look elsewhere for good music."
1,I thought this book was great.,"I totally felt like I was a part of this book when I was reading it. At times, it could have gone a little faster, but it was altogether a well-written book. The way the author wrote the book made you understand exactly how the characters looked and felt at the various parts of the book.What's good about it is that it's pretty fast-paced."
1,Great product at great price,The seat covers came exactly as described and at a great price! Just what I was looking for! Very happy with my purchase!
0,Is it time for an Old Master to retire?,When I first was introduced to Ludlum many years ago I devoured and re-read many of his works. It is sad to say that this effort is the latest in a string of 3-4 of very disappointing efforts. I will find it as hard to justify reading his next novel as I will in turning away from it.
0,Disappointing at Best,"In conducting my own sociological research and as a former female Marine, I eagerly sought out this book, hoping for real information about the current status and experiences of women in the U.S. military. What I found, however, was 370 pages of self-serving diary-type brooding, anecdotal ""evidence"" of rampant sexual predation by military males, and almost NO voices of the military women themselves. This book is disappointing at best. I found myself appalled by many things Ms. Solaro asserted and alternately laughing at other things that were simply preposterous. I suppose this book could be useful to give someone an extremely subjective view of women in the contemporary military; however, readers BEWARE that this is written by a journalist! Although, Ms. Solaro alludes to her credentialed education, I see very little evidence of an acceptable methodology nor support for her extrapolated conclusions. Readers should take this book with a heavy dose of skepticism."
1,Awsome!!!,This is probally the best of all of his albums. My favorite song would probally be superman.You should listen to it on the preview list and i think that you would agree with me that it is a good song. I would recomend this album to anyone who: 1) Is having problems with their life right now because he talks a lot about his life problems.2) Anyone who likes eminem because he is probally the best singer/songwriter i have ever heard3) Anyone who wants a change in their music and hasen't heard eminem yet.
1,Excellent Light Stand,"This stand is a very study stand that can take a lot of use and abuse. I use it inside and outside. The only slight down side is the overall length of the stand when it is collapsed for transport. I have a 42"" bag and it will not fit so I have to buy a longer bag if I want to transport it with my other equipment or just carry it separately which is not really a big deal. I would recommend this stand if you need the extra height."
1,A fresh understanding of Matthew's text,"Prof. Neyrey brings fresh insight to the text of Matthew using resources from otherwise ignored classical sources. With the tools of classical literature and social science criticism, Neyrey writes clearly, arguing cogently for Matthew as encomium literature. A must for every bookshelf."
1,A Fun Reference,"I bought this book because of the sibling name relationships the book offers. It lists possible sibling names for the names it defines, and it groups the names into classes and trends. It's a fun book to simply look up names in---it got 3 of my husband's sibling's names! I was pleased at how good her research was, and although I didn't intend to use it to name a child (more as a research tool for my students to use in a classroom project), I have loaned it to 2 separate families to help them with their own baby naming strategy. I highly recommend the book!"
1,Through A SUSPENSFUL BOOK!,This book (like other Lois Duncan novels) is one of the best books I have ever read. The other keeps you hooked in every second. read this book!!
0,Deserves a Couple of Negative Stars,"Look somewhere else for your strategy fix. I was desperate for something new and bought this game, even though I couldn't find any reviews of it. My money was wasted.So much is so very wrong with this game. For brevity I'll give one example: for your global empire, running in realtime, you have a jump-map of the world about the size of your thumbprint. You hear that there is an attack on, say Montreal, and you have to pick a point in the NW North America, about the size of the head of a thumbtack, click then hunt around for the frickin city you need to find. Then you have to jump to southern Europe and hunt for another city. It is exhausting and stupid - like many other features of this game."
1,very good electric lantern,I bought this as a replacement for the one I've used camping several times per summer for five years. The switch on my original one gave out. I use this one inside the tent.
0,dies fast,"the bulb took weeks to arrive and once i got it from the mail . the bulb dies within 3 weeks, terrible product."
0,very unhappy,"My husband ordered these batteries for me in December. I can not believe how poor the quality is. The batteries are either dead on arrival or only last 1-4 hrs. I did have a few that lasted 6 hrs. The exp date is Aug 2016. I have already gone through a box of 60 batteries and am on my second box. When I got my hearing aids in May, I bought a box of Rayovacs. Each battery lasted 3-4 days. Save your money and frustration and do not order iCell Tech 312 batteries. The only use for these batteries are the trash."
0,Don't fit like 511's,"Like other (negative) reviews, the jean color in the picture was different than what I received. The picture of the chain link color shows a blue pair of jeans but I received a gray pair. However, the label on the jeans do say chain link. I ordered a 28x30, like all my other Levi's 511 skinny pants but these didnt fit like them. They fit more like very skinny jeans, like the kind on the Miller Lite commercial. The waist size was correct and did fit like 28 should. Levi's is at fault for not keeping the all sizes at a standard. I will be returning them."
0,Manipulation of fact to support her preconceived thesis,"Ms. Blee has many flaws in her research, documentation, interpretation and conclusions. At worst this is a conscious manipulation of fact to support Ms. Blee's preconceived thesis. At best it is a work of pure fiction."
1,Already spellbound by this brilliant book,"I'm only halfway through this magnificent new novel from Jennifer Egan and I am so spellbound that I'm rationing my reading of it now. Twenty pages a day, no more. Well, except if there's a chapter that's almost done. Or if it's raining.What Egan has done is made the telling of the story almost as suspenseful as the plot. The succession of voices has its own mysterious chemistry as this tale of two cousins-bound by a shocking childhood betrayal- unfolds in a mythically mysterious setting somewhere in eastern europe.I don't want to 'tell' the plot for fear of spoiling it, but in fact, any competent telling would be as long as the book and I don't think this one is susceptible to spoilage. A simply brilliant book.Lynn Hoffmanauthor of bang-BANG forthcoming from Kunati andThe New Short Course in Wine from Prentice Hall."
1,Cyberpunk in a Society of Women,"Slow River"" is good. I particularly enjoyed the author's ability to turn a phrase. However, the story lacked ""closure"".In the story a young heiress is kidnapped and escapes into a cyberpunk netherworld. Here she hides-out looking to find herself.The tech is good, the prose is good, and the setting was noir and gritty. However, the story is a bit thin when it comes to Lore's family which features so prominently in the beginning and end. Lore's mother, and sisters are cyphers that come to figure too largely in the story.Finally, where did all the men and straight-het sex go? The novel seemed to exist in a society of women. The absence of male characters (except as evil doers) was a bit too obvious. This detracted from the reality of the story.By the way, I think the ""River"" is the Humber."
0,Well....... didn't meet expectations,"I thought this book would be more, or read like more, to me.... I ended up scanning some passages because of the telling of individuals' stories that permiate the book. I came away with a couple of things to think about, but on balance, I thought there was just too much ""filler"" and not enought ""there""..there. Good concepts, but not enough for a book..... and not so different than what others have proposed in other books. Just a different take. Would have made a nice pamphlet."
1,They're Pink & They Work,"These are well made. But seriously, I got them because they're pink! What fancy lady cook doesn't secretly delight in pink measuring cups?What else can I say:- Sturdy- Accurate measurements- Ring works again and again- Lovely Pink Color!"
0,too much talking; not enough instruction,"I purchased this video hoping it would help me with my coaching of two youth league teams. One 10-11 year olds; the other 12-13 year olds. I've been coaching several years with good success and thought Mr. Wooden's video would heighten my knowledge of the game and game preparation. Frankly, I am dissapointed at the long-on-talk short-on-skills development contained in it. Mr. Wooden goes on for long sections discussing tiresome aspects of the game...and the excessive length makes it useless for kids. It strains my attention span. The drills are one or two-on one; if I do these drills, I have eight other kids standing around bored. Good man, dated video style. p.s. The coach of Duke University (Mike K) has an excellent vido out for teaching kids although I can't find it on Amazon and someone borrowed mine. Help if you know how I can get it."
0,Historical background is very light,"I'm a history buff and enjoy the history behind different patterns. There is a fair amount in the book. Unfortunately, my expectations were set based on the local library having Levine's 4th edition. As an example, compare the jack knife sections and the descriptions on patterns. I assumed this book would be an update on values, but leave content intact. Instead, big chunks are missing. Blade is a fine magazine, but this book is a big disappointment."
0,Just Itching to Hear This,"I've always been a big fan of Neil Diamond. I look forward to his renewed career.Unfortunately, until this CD is re-released in a safe format, I won't be purchasing it. More generally, I won't be purchasing further Sony product because of the disregard that the company shows for its customers. Unless this album comes out soon without the dangerous software, I'll look for it on iTunes and will write a followup review."
1,The Opinions of Elizabeth & How to knit.,"No self-respecting knitter should be without this marvelous book in theircollection! Elizabeth's wonderful wit & humor are so refreshing! Her knowledge of knitting, her tips, & techniques are inspiring & stimulating to the newest knitter, & the most experienced ones. In today's knitting classes, her innovative designs, fashions, & techniques are still talked about, referred to, & passed on. Thankfully, we also have her unique style of writing to give us guidance -- videos to watch, & learn from. This is just a wonderful book to own!"
0,Great cast bogged down in sub &#65533;B&#65533; material.,"How can a movie with this cast, and directed by Barry Levinson, be so bad? I've never really listen to profession critics, so I rented this expecting a pretty good film. Boy, was I ever wrong. This film miss-fires on every level. I thought I was watching a 50s `B' film, and basically, I was. I won't go into the plot (there isn't any, at least any worth mentioning), but this film did have one thing I enjoyed, at that was seeing Peter Coyote. I was wondering what had happened to him. It's too bad his return had to be in this turkey. Between 1 and 10, ""Sphere"" gets a 4, and is lucky to get that."
1,The Best,I go out of my way to buy the Verbatim CD-R. I distribute several hundred CDs with software each year and have zero media problems.
1,good condition,"I choose this rating because it is in good condition, and it is helpful. I use it for my economic class."
1,Darth Maul Lightsaber,"This is a great lightsaber but just a few exeptions, first off when your doing some tricks and the lightsaber's ""Ignite"" button usually hits your fingers and it turns it off.Second the length of the blades for WAY too short and that makes it unreal but other than that its a great toy and fun to play with."
1,wu-tang forever!!!,"Wu-tang Forever! ODB brings the funk. Open your mind and breath in the wu, or else u be stung by killer bees"
1,A Great Mix of New Material From Dwight Yoakam,"I can't think of a past CD that I have purchased where I have loved all the tracts contained in it as I do in this one. This CD ranges from emotional ballads to upbeat, fastly-paced songs. The vocals are excellent while delivering the lyrics, sometimes keeping one in suspense with a changing tempo. The instrumental portion and background vocals fit in perfectly. It's definitely my favorite."
1,LP or CD...a no-brainer choice!,"I first purchased this on CD and liked the songs despite the tinny sound quality. Yesterday I bought the LP in a used store and the difference is immediately clear. Frank Beard's drums are actual drums vice whatever they put on the CD. Now I know why that 1976 tour was THE SHOW to see back then. Easily one of their best albums and it should be heard on vinyl. Now, go get your LP!"
0,Very Disappointed,"Do.Not.Purchase. The plush cat bus that they send you looks nothing like the picture. It was terrible to think that they were charging about 20-something dollars for such a piece of trash.All the legs were simply a single piece of fabric with cotton shoved in at random intervals- making sudo legs that were fused together.The sewing was absolutely terrible- you can see places where the machine/person missed with cotton poking out of the plushThe dimensions were very misleading- while the description claims it is 7 inches long- it doesn't mention that it is about 3 inches tall.I have ordered both the catbus and gray totoro from this company- completely ripped off both times. If you want a good quality plush, shop from a Japanese website instead."
0,Disappointment,"Not being aware that Mr. Ludlum had passed away, I eagerly purchased this book. What a disappointment! It's a shame to carry on his name in this fashion.In my opinion, the book was quite amateurish, slow and wordy for wordiness' sake (case in point - the meeting in the airport with the guy using (too many!) fractured idioms, e.g., ""kill two fowl with one rock"", ""birds of the same plumage seek out one another's company"", ""all that coruscates (coruscates???) is not gold."") Also, as someone else mentioned, the editing seemed lacking (the gun that was seen beneath a bush, highly accessible, then later is was ""completely inaccessible"").I won't make the mistake again - there are much better choices around."
