text,label
"This movie doesn't have any pretense at being great art, which is good. But it is a well written script with well developed characters and solid acting. I think if I wrote it I could do without the drama surrounding the wife, but it wasn't distracting enough to detract from the main story concerning Minnie Driver's character. I think that all too often Hollywood abandons an attempt at real quality writing to try and inject more visual drama when, with an adult themed movie such as this, the emotional type of drama is all that's really needed - and probably more believable too. Overall, it's a very well done offering and well worth seeing.",1
"I was hugely impressed with this movie, if for nothing else than for the comedy. It might not be the edgiest, wittiest humor at all times, but I found it appropriate to every scene.<br /><br />The flow of the film is certainly a bit jumbled, almost confusing sometimes, but that is how the characters feel. Sometimes, we're watching a bit of slapstick and other scenes revolve around a decisive discourse on relationships. This might be a bit frustrating to certain viewers, but it brought me closer to the characters' dilemmas of irregular chaos.<br /><br />The acting is great from everyone. I'm a huge Andy Richter fan, but I wasn't head over heels for his part like everyone else seems to be. He did very well, but Julianne Nicholson and Lauren Graham stole the show for me, both in their respective ways. Jay Mohr performs as expected, if you've seen him in other films. I've always liked him.<br /><br />Overall, the movie is very funny and offers some nice foundations for a few types of relationships. When it comes to relationship questions and problems, some films try to surprise. There's nothing surprising about the conclusions offered here, but it's entertaining to watch them be revealed throughout the film.",1
"WESTERN UNION tells in melodramatic fashion the stringing of telegraph lines between two points out west. Siblings Dean Jagger and Virginia Gilmore work for Western Union, and Randolph Scott and Robert Young work for the Creightons. Indians and some bad white guys get in the way, but nothing can stop America's progress. This sense of manifest destiny is greatly enhanced by a first-rate musical score and vibrant color photography. Scott is a bank robber looking to mend his ways, and both he and engineer Young vie for the attention of the perky Gilmore. Lots of great character actors help keep the large production moving forward.",1
"It's okay ... a few years later Chayefsky's classic ""Network"" will be his true cinematic BIG home run ..., but for now, this dark comedy isn't the classic it aspires to be. It's mostly awful, although it has some good scenes: the first murder victim being found, the E.R. clerk responsible for billing patients making a surprise discovery, Drummond's delusional confessional, and the very last scene where Scott's character regains his professional integrity and self-respect. It also has some ludicrous scenes: Scott's character's whiny monologue during his early visit to the hospital psychiatrist, Scott's character's raping Rigg's character, Dysart's horrible mugging in his brief scenes, and the O.R. doctor pouncing on the operating table to resuscitate the wrong patient because ""I already have one malpractice lawsuit"".<br /><br />Chayefsky also tries TOO HARD throwing every conceivable hurdle at this one hospital (i.e.- the murders, the administrative mistakes, the poor people protesting outside, etc). It might have worked better as a look at the industry as a whole. Acting-wise: Scott is passable, Rigg seems miscast, Hughes is inspired, and Dysart mugs through out his brief performance. The rest of the cast is TOO one-dimensional.",0
"A buddy and I went to see this movie when it came out in 1980. It was playing in a huge theater and we were the only two people in the place. It lasted two days in the theater before they stopped showing it. It was so bad that we laughed all the way through it. Since that time, we rate movies based on Kill or Be Killed as the worst movie of all time. Like other reviewers have mentioned, it is so bad that it is funny. It isn't worth a second look that's for sure. I just can't bring myself to give it more than a 1 because I don't think the makers of the movie intended for it to be so bad and I can't give credit for an accident. Sorry.",0
"That's how I was when I walked (staggered) out of this ""film"". I couldn't leave, because it was at a film festival and the cinema was full of people. I was stuck in the middle. Trapped.<br /><br />The tiny fragment of original footage which attempted to bind this film together features some of the worst acting ever to grace the big screen. The daughter was a stand out performance - stand out in the bad sense.<br /><br />Thge cinematography was hideous, consisting of disjointed framing and some of the oddest lighting I've witnessed.<br /><br />As for the stock footage... well at first one...<br /><br />Wait.<br /><br />Why am I reviewing this film? Why do I acknowledge its existence? Please, don't watch it. Do something useful with two hours of your life and go watch some paint dry.",0
"Perhaps the director was trying for another PIRATE (Good Garland and Kelly musical) -- but this lame musical epoch falls flat. Sinatra and Kathryn Graysons voices do not blend well -- and their chemistry together lacks spark. The premise of Sinatra as a sweet guy who tries to impersonate his late ""bandito"" father is okay, but he seems awkward in the role. What's amazing and wonderful here, is how Sinatra can take a rather insipid song and make it seem special -- his phrasing and eloquence as a singer make you want to hear it again. When Grayson sings the same songs it's hard to believe she's not singing something entirely different and not nearly as interesting. She has her big moment with ""Love Is Where You Find It"" which suits her perfectly and shows off her abilities. The photography is lucious and both stars look appealing as do the costumes and sets. Co-stars Mildred Natwick and J. Carroll Nash put lots of energy into making the impossible work. Aside from Sinatra's singing there is a strange menage-a-tois dance with Ricardo Montalban, Cyd Charisse and Ann Miller. It's fascinating and weird. Montalban and Charisse were a wonderful dancing team and this number is a real oddity.",0
"The focus of the key relationship in a young man's life, that of his relationship with his father, was excellently portrayed in this movie, ""The Greatest Game Ever Played."" The movie captured the essence of how important it is for a father to validate his son and let him know that he has what it takes to follow his dream.<br /><br />It didn't matter that economic and social class mores presented obstacles to be overcome by both father and son. It also didn't matter that others were acclaiming the son in exuberant celebration. What mattered the most was that he saw his father's hand and then his face of approval. The real life challenge for both father and son had been met.<br /><br />Considering that in real life the hero of the story kept his amateur status and became a businessman pretty much verifies that all that went before the match was the training ground for a valid father and son relationship.",1
"Dear friends, I've never seen such a trash movie as NIGHT OF THE DEMONS (1988). It seems that the director Kevin Tenney had the intention to copy classics like THE EVIL DEAD by Sam Raimi (1978) or George A. Romero's RETURN OF THE LIVING DEAD from the same year. The cinematography was lousy, the movie was very dark, so I had to turn the brightness control to the maximum. Indeed, horror pictures have to be dark, but not the way like NIGHT OF THE DEMONS. The entire movie was ridiculous, no suspense, worse actors except Alvin Alexis in the role of Rodger, and horrible make-up effects. An average vote of 5 stars for that movie? I can't believe this. Perhaps the users were pleased about the tits, asses and pussies of the actresses, they were indeed worth 5 stars. Regards, Hans-Dieter",0
"In watching this off and on for a few seasons, two things come to mind: One - wondering what kind of girl wants to be a ""model"" and two - run to the nearest ice cream store and have a low fat sundae.<br /><br />I tried to be a fan because I liked the idea of this reality show competition. No other ""famous"" model thought of this, and it is very admirable for Tyra Banks to do so. But as the series goes on and on I've come to the conclusion that this is a sorry lot of folks trying to make a mountain out of a molehill. Women shouldn't watch this, teens should stay clear of it unless they're doing book reports on the subject.<br /><br />Many women try out for slots to compete for ""Americas Next Top Model"". They live together, cat fight together, cry together, get put through pointless modeling shoots with pointless modeling people and fashionatas and get eliminated and almost all of them claim, ""You will see me again"". Heck, I'm trying to see what happened to the ones that DID win, actually.<br /><br />This is the dream of some girls, and good for them. In watching this I hope the other girls that see this and run like Hades the other way - like to college.<br /><br />I just happened to watch more of this recent season because of the ""ploy"" of full figured models joining the group. That even made me think more of this as a sorry lot of folks. The ""full figured models"" were no more than average sized ladies competing with what I think is the thinnest group of models they ever chose - so of course that would make them look even fatter - a ""ploy"" fashionatas use all the time. Bad, bad, Tyra and crew.<br /><br />But to be fair, ""Americas Next Top Model"" is not about ""full figured"" models, it's about projecting an imagined image a beauty that can be mass marketed and sold as the ultimate in beauty - and this show is just looking for the next fresh piece of meat to add to the mix. Hence the name of the show. Hence the sorry lot of judges, photographers, associations. Hence Tyra and her consistent ""this was me"" plugs every camera angle you can get. But then again, that IS the one thing I like about this show - the ex-model giving others who wouldn't have the chance -- a chance to enter the doors. But after that...everything else is status quo for that industry which is why there are no surprises or week to week interest in the program.",0
"For three quarters of an hour, the story gradually develops towards a pivotal point of some sort. Although it is overburdened with scenes that just seem to be intended to dull the viewer and lure him away from the actual plot, there is something happening. It is not much and it certainly is not obvious. The combination of palace impressions and story-driving scenes do not add any depth or insight to the whole cast of characters. In fact, they keep them sterile as there is no character development at all. Everybody just remains spinning and centered around their own cliché and role - the cute, kinda headstrong girl; the fighting überwoman, the snobby aristocrat. The male lead does not seem to have any distinction at all, he is a shallow presence, which, actually, doesn't even matter as he is only there because the storyboard required him to - it seemed like he was on vacation and got caught up. When the point comes of turning the corner in terms of what happening, the movie first snaps completely blank for a couple of minutes and then becomes ridiculous. It solves - or better, dissolves - itself with a by-the-book Deus Ex Machina, more clichés and some of the most crude plot devices and choices I have ever seen. It's history, alright. First the movie's a drama though it's supposed to be comedic, and then it turns into a farce. The protagonists do what they are expected to do, and there are no surprises. The first set of somewhat serious antagonists however gets replaced by a couple that literally was just bored. Maybe that was some kind of nod towards the audience.<br /><br />This movie does not get any bonus from me for underlying philosophical meaning (since there is none) nor for its technical realization. The animation and editing is fair and so's the sound mixing; but it is by no means outstanding or even above the average Japanese productions of the late 1980's. In fact, the visual treats seem static, un-inspired and un-original.<br /><br />Worst of all - it totally fails to entertain, even if you don't bother with characters and all that stuff. There's too little going on here, and the rest is corny at best. Get a real Ghibli instead, have a feast with it and keep your fingers off this one.",0
"This movie used to be played constantly on the Disney Channel when I was a bit younger, and I really remember liking it. However, I didn't have great taste back then (not to say that I do now) so I can't vouch for my nine-year-old self too well. The movie was probably a 7/10 but it had some good music so I gave it an extra point. Yeah, worth watching. I know that some fans of this movie are wondering what a certain song is - the one that appears when she is in the car crash. The song is ""Play a Love Song"" by the Jaguars and it is VERY hard to find and obtain. In fact, this movie is, too. I can't find it anywhere online or on DVD or on VHS. I'd like to see it again so I can gauge if it was actually a good movie. Oh well.",1
"This is my opinion of this movie, expressed in its dialogs.<br /><br />To be more serious, i can't say this movie is a bad moment but i didn't enjoy it either. <br /><br />First, I was simply indifferent & couldn't get my mind into the apes world. Even though the make-up are very realistic, the constant screaming was irritating. May the film have changed apes for cats and it's a cult movie for me in relation to my fondness of the latter.<br /><br />The second part is more interesting, with the talent and freshness of then newcomers (Macdowell & Lambert), but i felt alienated: all the story is located in a big British mansion: no matter how luxurious is it, it was like a prison for me.<br /><br />At last, it could be a good adaptation of the Burroughs' story of Tarzan ? I don't know, having never read the book (or seen the Disney): .<br /><br />In conclusion, i don't have any good moments to remember, so one viewing would be enough for me. <br /><br />I should have guessed my boredom after the endless freeze called ""Overture"" at the beginning... What's the meaning? Only the director knows it.",0
"**SPOILERS AHEAD**<br /><br />It is really unfortunate that a movie so well produced turns out to be<br /><br />such a disappointment. I thought this was full of (silly) clichés and<br /><br />that it basically tried to hard. <br /><br />To the (American) guys out there: how many of you spend your<br /><br />time jumping on your girlfriend's bed and making monkey<br /><br />sounds? To the (married) girls: how many of you have suddenly<br /><br />gone from prudes to nymphos overnight--but not with your<br /><br />husband? To the French: would you really ask about someone<br /><br />being ""à la fac"" when you know they don't speak French? Wouldn't<br /><br />you use a more common word like ""université""? <br /><br />I lived in France for a while and I sort of do know and understand<br /><br />Europe (and I love it), but my (German) roommate and I found this<br /><br />pretty insulting overall. It looked like a movie funded by the<br /><br />European Parliament, and it tried too hard basically. It had all<br /><br />sorts of differences that it tried to tie together (not a bad thing in<br /><br />itself) but the result is at best awkward, but in fact ridiculous--too<br /><br />many clashes that wouldn't really happen. Then the end of the<br /><br />movie--the last 10 minutes--ruined all the rest. Why doesn't Xavier<br /><br />talk to the Erasmus students he meets back in Paris? Why does<br /><br />he just walk off? Why does he just run away from his job, is that<br /><br />""freedom""? And in the end, is the new Europe supposed to rest on<br /><br />a bunch of people who smoke up and shag all day? Is this what<br /><br />it's made up of? <br /><br />Besides, the acting was pretty horrible. I can't believe Judith<br /><br />Godrèche's role and acting. Why was she made to look like<br /><br />Emanuelle Béart so much? At first I thought Xavier was OK but<br /><br />with retrospect I think he was pretty bad. <br /><br />And that's all really too bad, because technically (opening credits,<br /><br />scenes when he's asking what papers he needs) it was really<br /><br />good (except for sound editing around the British siblings), and the<br /><br />soundtrack was great too. So the form was good, but the content<br /><br />pretty horrible.",1
"Rosie Perez is the lead in this very engaging affair, cast as Mercedes, a young woman from Brooklyn who has resolved to become a film actress although not favoured by her circumstances, living in East Los Angeles and struggling with a series of fruitless auditions for any sort of part at all. Mercedes has hooked up with a married and washed-up actor, Harry Harrelson (Harvey Keitel), who at one time had performed in a television Western series during the 1970s, and seldom since, accepting him as her lover, in part from loneliness, and as well from a hope that film parts will be coming her way because of his ""contacts"", but these latter are of small consequence as Harry is simply self-delusional in his attempts at recovering what he perceives as past cinematic renown. In order to adequately support herself financially, Mercedes toils as a taxi dancer in a downtown Los Angeles Skid Row dance hall/bar while she continues carrying on her efforts to succeed at the motion picture business, and it is while there at the dance palace that a young immigrant from Mexico, Ernesto (Michael DeLorenzo), falls in love with her and the largest portion of the narrative depicts his efforts to please the object of his affections, even if they may mean losing her altogether. This essentially tradition rooted melodrama is given only a moderate budget, despite the presence of a goodly number of well-known players, including Steve Buscemi, Anthony Quinn, and Stanley Tucci, and was kept in the can for about a year before its rather desultory distribution and leaden marketing efforts on its behalf, more's the pity as its solid production characteristics are firmly complemented by Alexandre Rockwell's admirably controlled direction, a consistent virtue of his work, and on display in this film from its very opening scene, frames that form a montage behind the credits, featuring Perez at Skid Row's Fifth and Main Streets. Rockwell has often demonstrated that he operates very closely indeed with his cast, and this holds true in this instance as he allows his actors to create their roles while any ad libbing is neatened nicely via the editing process, resulting in an artistic success for the director, despite negative comments from some mainstream evaluators. The film's scoring is aesthetically spot on with a good deal of it contributed by Tito Larriva, who also plays as band boss for the taxi dancers. Acting honours here must go to the ever vital Perez, although nary a sub-par performance is turned in. A fair test for any film's quality is given when a viewer will watch it twice within a brief period. Sitting through this undervalued work will be considered a keen pleasure for many.",1
"Rififi is a great film that is overlooked. It's a crime drama where a man gets out of jail and plans another job. It's an over used story but this one is different from the others. They round up the usual suspects for the job. This film takes a look at how the family gets torn apart as time goes on. The actual heist scene is one of the best I have ever seen. Instead of a suspenseful soundtrack the director decided to go with silence, around thirty minutes of silence. This fits the mood perfectly and is often copied these days. Of course things get out of hand and people die and it ends in a great ending that builds up in suspense.<br /><br />So if you're looking for a great film noir that not a lot of people talk about this is a great pick up.",1
"Much better than expected. Good family flick - catch it on reruns. The whole is more than the sum of its parts. Paul Giamatti chews up the scenery - he has way more talent then the role deserves. A treat to watch Inspector Uhl from ""The Illusionist"" go over the top. The blue man scenes had my 11 year old in stitches. The cameos were particular fun for the parents - nice to see Lee Majors and Urkel (umm, Jaleel) again. It's going to be tough to think up 10 lines for this film , but let's hear it for a movie that promotes honesty between a child and their parents! Amanda Bynes does a fine job when she gets to be part of the sting. I normally can't stand Frankie Muniz but he is just fine here. Hats off to the casting director - if only for hiring Giamatti!",1
"Accepted is one of the best teenage comedies I have seen in a long time. It has an original script, talented cast and it delivers an hour and a half of pure unadulterated fun.<br /><br />It tells the story of a high school graduate Bartleby ""B"" Gains (Justin Long) who is not accepted in any of the collages he applied to, so to avoid his parents' disappointment he creates a fictional collage. In the attempt to fool his parents completely he creates a fake website and turns an old psychiatric hospital into a school. Everything goes smoothly until a lot of other ""accepted"" students turn up on his doorstep. Now he and his friend have to figure that collage thing out not only for themselves but for the others too.<br /><br />Justin Long as a lead man is absolutely brilliant, his character is as natural as he can be and the supporting acts are outstanding- Jonah Hill as Sherman Schrader, Columbus Short as Hands, Maria Thayer as Rory, Adam Herschman as Glen and Lewis Black as Uncle Ben.<br /><br />The humour is fresh and simple and most importantly funny, right from the start to after the credits .The plot develops so easy that by the time you stop laughing at the last joke you start giggling at next other. Along with all the fun the movie brings a very common subject to our attention i.e. the collage education. If usually the students in the movie are united against the school government, in this case they are united by the mutual desire to go to school and learn.<br /><br />Yet the movie doesn't brand all other schools as wrong, it just shows that there is another way. You what they say ""If there is a will there is a way.And may be sometimes the children know better what they need than their parents.<br /><br />This movie is an unmissable little story about the great opportunities in life wrapped up in the best format possible.",1
"Can u believe a college professor made this film?????<br /><br />The same man who made DHOOP<br /><br />The film is horrible and has some of the weird scenes ever<br /><br />The main message is nice but presented badly<br /><br />The film looks like a collage of amateurish scenes, miscasts.etc and bad performances<br /><br />Direction and everything is poor<br /><br />Music is okay<br /><br />Emraan's naughty streak works and he does well Tusshar is bad Tanushree and Isha are bad Paresh annoys when he looks at the mirror",0
"Thanks to silly horror movies like ""Troll"" and the indescribably atrocious cult-favorite ""Troll 2"", it has become practically impossible to take movies with kobolds, gnomes and various other types of little green hobgoblins seriously these days. Only just recently I watched the 70's made-for-TV movie ""Don't Be Afraid of the Dark"", which is basically a quite terrifying and serious-toned film about domestic little goblin monsters, and yet I still couldn't help thinking back about the laugh-inducing potato headed critters dressed in garbage bags that were running amok in ""Troll 2"". Same thing happened to me now. As much as I tried going into ""Inhabited"" with a clear mindset, unconsciously I kept comparing the supposedly creepy and menacing garden fairies with the badly sculptured goblins of Nilbog! Still, even without all the prejudices, ""Inhabited"" is a remotely entertaining albeit unmemorable straight-to-video horror flick. It's a cheesy, soft and politically correct pastiche of family drama and Northern Europe mythology. The annoying and murderous little creatures in this movie aren't your plain average goblins; they are ""The Huldre"": wicked little Norwegian demons that live underground and attempt to chase happy families out of their houses through influencing the youngest children. This overcomes the Russell family as they move into their ramshackle dream house in a remote little town. The cherubic blond daughter of MILF-actress Megan Gallagher starts to behave strangely whenever she hangs out in the cute play house in the back of the garden. She claims her friends are fairies, and even though the sinister handyman also warns for strange occurrences in the past, Gina's parents simply think the girl has troubles adjusting to her new neighborhood. When she keeps rattling about fairies, they arrange an appointment with the acclaimed psychologist Dr. Werner whilst ""The Huldre"" are slowly coming out of their botanical shelter. Not much special to mention here. The pace is acceptable and the attempts to build up suspense are pretty cute. You understand this is a family-friendly horror movie, so no bloody murder sequences are graphically being shown here. Heck, even the cadaver of the family's pet cat is kept off-screen. This is the umpteenth nonsensical horror movie in which Malcolm McDowell pops up and he practically always depicts an unreliable, greedy and self-centered authority figure.",0
"I know...I know: it's difficult (if not paradoxical) for there to be such a thing as ""believable"" fantasy. But, to me, there is also such a condition wherein TOO MUCH UNbelievability interfere's with, or distracts from my overall opinion of the movie. The latter was the case for me with regard to Goliath Awaits. Not only did I have too many unanswered questions concerning the storyline, but some of the acting, too, I thought, was a bit over-the-top. (Maybe, though, it was the writing: asking them to recite too many trite, predictable, cliched (over-?) reactions.) Others have said enough about the plot. I just wish that it was done - and, I think that it COULD have been - more convincingly. P. S.: This is a FRESH comment about this film - I just finished watching it a couple of minutes ago; not a recollection from years ago.",0
"The movie is great for Venezuelan tourism, birds, birds and more birds. Only 1 piranha. Nice scenery. The only highlight was the alligator seen during a very long and boring motorcycle race. The end when Caribe drowns is a definite Hollywood prop. There is no definite storyline. It goes from Venezuelan scenery to a rip off of easy rider to diamond mining and a ruthless hunter going crazy for some reason who gets it in the end. A very low budget movie that could have been filmed anywhere with outtakes of Venezuela. William Smith is a very talented actor that has made some very good movies. Like all actors they all need to have at least one bad film Don't waste the $5.00 on the DVD.",0
"I did not like this movie. I rented it hoping it would be something like the 10th Kingdom. I was disappointed when I discovered it wasn't. I also found it just plain nervracking. The acting was bad, the characters where unbelievable and the time jumps were crazy. I only recomend this film if your in the mood to see a crazy dude running around, but I'm sure there are better films with the same thing. I can't believe I wasted my time on this one.",0
"This is a romantic, albeit cheesy movie that is one of my all time favorites. It is one of the many CLASSICS of the 80's genre like ""Pretty in Pink"" or ""Some kind of Wonderful"".<br /><br />Nic plays the traditional punk guy in love with the traditional valley, preppy girl Julie. It is a heartwarming love story that makes you root for him to win the girl in the end.<br /><br />True, most of the acting sucks but ...<br /><br />I have been in love with Nic since seeing this in the theaters and have seen nearly every movie he's been in since. He's really grown as an actor but it is obvious in this early movie of his that he had a LOT of potential.<br /><br />If you love 80's movies, you will LOVE this classic.<br /><br />Go rent it!!!!!",1
"If you thought this is the french The Mummy and if you're hoping for another ""Vidocq""...well look elsewhere. It does have the same kind of story like The Mummy concerning this book of the dead and a soul that needs to find 7 missing pieces that are scattered in the Louvre. I found the movie to be slightly entertaining, boring for the most part. The special effects aren't bad, but it's nothing spectacular as I was expecting big explosions and perhaps the eiffel tower crumbling down until I realized that those kind of scenes were in The Mummy and this is Belhpegor. Apparently based on a french cult tv series, Belphegor could have been so much better. I voted this film a 4/10 only for the beautiful Sophie Marceau...she must be almost 40 and she looks breathtaking!",0
"As with so many modern US films, there has to be a supernatural element to the plot, but if you just let that go, this is a tale with heaps of charm and a kindly heart cased in a crab shell.<br /><br />We are presented with a scene of a town in an economically depressed area struggling to find anything to be happy about. Beau Bridges' character is really up against it with a family on the increase, a nil bank balance and a brother-in-law who's sold out to a big business chain which he secretly hates, but in which he is willing to rub Beau's nose. D'Onofrio finds his rather surface Bubba lifestyle cramped by having to look after his 'blessed' baby brother, Joey, and is itching to escape the shackles of this dead hick town. Their boss's business is closing down (much against his will) because of a lack of new customers and he is haunted by memories of his father as he builds up the tension towards his own attempt at self-destruction.<br /><br />Joey, who had seemed to personify the curse on their lives, is lost at sea - believed drowned - in a freak accident. His miraculous restoration to them by the Portuguese trawlermen whose boat they had just built and launched (perhaps symbolic of an angelic crew), is the sign they've been waiting for and they all decide to give life one last throw of the dice.<br /><br />There is a beautiful brooding mood throughout this work which excelled in holding our attention as brilliantly as 'The Shipping News'. There are other parallels with the later work, too, which lead one to suspect a touch of a remake. I like 'Signs of Life' for its simpler, less contrived story and star performances from actors working at their craft rather than to be noticed as stars.",1
