model,prefix,method,prompt_level,train,test,accuracy,std,cons_loss,layer,location,loss,sim_loss
roberta-large-mnli,normal,LR-md,all,all,ag-news,0.5025,0.016393596310754988,,-9.0,encoder,,
roberta-large-mnli,normal,LR-md,all,all,dbpedia-14,0.5003124999999999,0.02550850042142815,,-9.0,encoder,,
roberta-large-mnli,normal,LR-md,all,imdb,imdb,0.5225,0.016022820264571698,,-9.0,encoder,,
roberta-large-mnli,normal,LR-md,all,imdb,amazon-polarity,0.5372727272727271,0.0007186994682200708,,-9.0,encoder,,
roberta-large-mnli,normal,LR-md,all,imdb,ag-news,0.4975,0.017410485346480143,,-9.0,encoder,,
roberta-large-mnli,normal,LR-md,all,imdb,dbpedia-14,0.49968749999999995,0.02550850042142816,,-9.0,encoder,,
roberta-large-mnli,normal,LR-md,all,amazon-polarity,imdb,0.47730769230769227,0.015795007075677735,,-9.0,encoder,,
roberta-large-mnli,normal,LR-md,all,amazon-polarity,amazon-polarity,0.46318181818181825,0.0021560984046602445,,-9.0,encoder,,
roberta-large-mnli,normal,LR-md,all,amazon-polarity,ag-news,0.5025,0.017410485346480143,,-9.0,encoder,,
roberta-large-mnli,normal,LR-md,all,amazon-polarity,dbpedia-14,0.5003124999999999,0.02550850042142815,,-9.0,encoder,,
roberta-large-mnli,normal,LR-md,all,ag-news,imdb,0.5209615384615385,0.01621782203254463,,-9.0,encoder,,
roberta-large-mnli,normal,LR-md,all,ag-news,amazon-polarity,0.5370454545454545,0.002339915941133424,,-9.0,encoder,,
roberta-large-mnli,normal,LR-md,all,ag-news,ag-news,0.49749999999999994,0.017589059099337858,,-9.0,encoder,,
roberta-large-mnli,normal,LR-md,all,ag-news,dbpedia-14,0.5,0.02537222891273056,,-9.0,encoder,,
roberta-large-mnli,normal,LR-md,all,dbpedia-14,imdb,0.4790384615384615,0.0200129396011503,,-9.0,encoder,,
roberta-large-mnli,normal,LR-md,all,dbpedia-14,amazon-polarity,0.4604545454545454,0.01864190604946352,,-9.0,encoder,,
roberta-large-mnli,normal,LR-md,all,dbpedia-14,ag-news,0.505625,0.022316963839196395,,-9.0,encoder,,
roberta-large-mnli,normal,LR-md,all,dbpedia-14,dbpedia-14,0.5003124999999999,0.02093283530126771,,-9.0,encoder,,
roberta-large-mnli,normal,Random-md,all,all,imdb,0.519423076923077,0.014316271208026742,,-9.0,encoder,,
roberta-large-mnli,normal,Random-md,all,all,amazon-polarity,0.5327272727272727,0.019142246990223235,,-9.0,encoder,,
roberta-large-mnli,normal,Random-md,all,all,ag-news,0.521875,0.013448396744593784,,-9.0,encoder,,
roberta-large-mnli,normal,Random-md,all,all,dbpedia-14,0.5140625,0.01037857619088475,,-9.0,encoder,,
roberta-large-mnli,normal,Random-md,all,imdb,imdb,0.535,0.028856408433696454,,-9.0,encoder,,
roberta-large-mnli,normal,Random-md,all,imdb,amazon-polarity,0.5284090909090909,0.020121018162628537,,-9.0,encoder,,
roberta-large-mnli,normal,Random-md,all,imdb,ag-news,0.5184375,0.022006302364322838,,-9.0,encoder,,
roberta-large-mnli,normal,Random-md,all,imdb,dbpedia-14,0.5265624999999999,0.021137108216357302,,-9.0,encoder,,
roberta-large-mnli,normal,Random-md,all,amazon-polarity,imdb,0.5388461538461538,0.03043933728644351,,-9.0,encoder,,
roberta-large-mnli,normal,Random-md,all,amazon-polarity,amazon-polarity,0.5374999999999999,0.01834021909257456,,-9.0,encoder,,
roberta-large-mnli,normal,Random-md,all,amazon-polarity,ag-news,0.5221875,0.012338804388999775,,-9.0,encoder,,
roberta-large-mnli,normal,Random-md,all,amazon-polarity,dbpedia-14,0.5075000000000001,0.0035355339059327307,,-9.0,encoder,,
roberta-large-mnli,normal,Random-md,all,ag-news,imdb,0.5338461538461539,0.021675388928623647,,-9.0,encoder,,
roberta-large-mnli,normal,Random-md,all,ag-news,amazon-polarity,0.530909090909091,0.025389527352307185,,-9.0,encoder,,
roberta-large-mnli,normal,Random-md,all,ag-news,ag-news,0.519375,0.01935482820900253,,-9.0,encoder,,
roberta-large-mnli,normal,Random-md,all,ag-news,dbpedia-14,0.5146875,0.012082884330738257,,-9.0,encoder,,
roberta-large-mnli,normal,Random-md,all,dbpedia-14,imdb,0.5465384615384615,0.03622231650540521,,-9.0,encoder,,
roberta-large-mnli,normal,Random-md,all,dbpedia-14,amazon-polarity,0.5399999999999999,0.02969542358374741,,-9.0,encoder,,
roberta-large-mnli,normal,Random-md,all,dbpedia-14,ag-news,0.511875,0.018697844127064517,,-9.0,encoder,,
roberta-large-mnli,normal,Random-md,all,dbpedia-14,dbpedia-14,0.5209374999999999,0.008744417862270768,,-9.0,encoder,,
